T,Delta,pO2
325.16,-6.12E-05,0.208
325.23001,-4.72E-05,0.208
325.29599,-3.20E-05,0.208
325.36301,-3.43E-05,0.208
325.44501,-5.07E-05,0.208
325.505,-5.42E-05,0.208
325.57199,-4.95E-05,0.208
325.646,-3.08E-05,0.208
325.70999,-4.37E-05,0.208
325.78299,-4.83E-05,0.208
325.85001,-4.60E-05,0.208
325.91599,-6.35E-05,0.208
325.98801,-5.88E-05,0.208
326.05301,-3.43E-05,0.208
326.129,-3.08E-05,0.208
326.19601,-3.55E-05,0.208
326.258,-4.25E-05,0.208
326.336,-4.60E-05,0.208
326.396,-4.25E-05,0.208
326.45999,-2.38E-05,0.208
326.535,-3.90E-05,0.208
326.60001,-3.90E-05,0.208
326.668,-3.08E-05,0.208
326.745,-2.85E-05,0.208
326.80801,-4.13E-05,0.208
326.87799,-6.58E-05,0.208
326.94199,-6.00E-05,0.208
327.01599,-5.77E-05,0.208
327.08301,-6.00E-05,0.208
327.14401,-5.77E-05,0.208
327.211,-5.65E-05,0.208
327.28699,-5.07E-05,0.208
327.371,-5.18E-05,0.208
327.427,-4.83E-05,0.208
327.48801,-5.42E-05,0.208
327.56601,-7.52E-05,0.208
327.63,-7.40E-05,0.208
327.70099,-3.67E-05,0.208
327.767,-2.97E-05,0.208
327.83499,-4.48E-05,0.208
327.90601,-4.72E-05,0.208
327.978,-5.53E-05,0.208
328.035,-5.65E-05,0.208
328.11099,-6.23E-05,0.208
328.18301,-6.47E-05,0.208
328.255,-6.93E-05,0.208
328.31699,-6.00E-05,0.208
328.396,-4.95E-05,0.208
328.45599,-6.35E-05,0.208
328.52899,-6.82E-05,0.208
328.59201,-5.42E-05,0.208
328.66299,-5.07E-05,0.208
328.73001,-7.75E-05,0.208
328.802,-6.93E-05,0.208
328.866,-6.00E-05,0.208
328.94299,-6.58E-05,0.208
329.009,-7.17E-05,0.208
329.077,-6.35E-05,0.208
329.14301,-5.42E-05,0.208
329.211,-4.60E-05,0.208
329.27899,-3.67E-05,0.208
329.34201,-6.58E-05,0.208
329.42001,-9.62E-05,0.208
329.48901,-8.45E-05,0.208
329.55399,-4.83E-05,0.208
329.61401,-7.17E-05,0.208
329.68799,-7.75E-05,0.208
329.75101,-7.05E-05,0.208
329.82599,-6.35E-05,0.208
329.89499,-5.42E-05,0.208
329.961,-9.97E-05,0.208
330.02499,-8.68E-05,0.208
330.10599,-4.37E-05,0.208
330.16599,-6.58E-05,0.208
330.24399,-6.23E-05,0.208
330.30399,-3.78E-05,0.208
330.37299,-4.37E-05,0.208
330.44501,-4.83E-05,0.208
330.508,-5.77E-05,0.208
330.58301,-6.58E-05,0.208
330.64801,-4.83E-05,0.208
330.716,-4.83E-05,0.208
330.78799,-5.18E-05,0.208
330.853,-7.05E-05,0.208
330.91699,-8.10E-05,0.208
330.995,-7.40E-05,0.208
331.05801,-8.45E-05,0.208
331.134,-9.27E-05,0.208
331.19501,-6.93E-05,0.208
331.271,-7.17E-05,0.208
331.32599,-5.65E-05,0.208
331.396,-5.65E-05,0.208
331.47,-6.47E-05,0.208
331.52802,-8.80E-05,0.208
331.60501,-6.93E-05,0.208
331.672,-6.00E-05,0.208
331.74399,-5.07E-05,0.208
331.80399,-4.72E-05,0.208
331.86899,-5.88E-05,0.208
331.944,-8.68E-05,0.208
332.01099,-8.57E-05,0.208
332.077,-4.83E-05,0.208
332.14499,-5.30E-05,0.208
332.207,-7.52E-05,0.208
332.276,-8.80E-05,0.208
332.34698,-7.63E-05,0.208
332.41101,-7.87E-05,0.208
332.483,-7.75E-05,0.208
332.55301,-7.40E-05,0.208
332.61401,-6.12E-05,0.208
332.68201,-5.18E-05,0.208
332.74701,-5.88E-05,0.208
332.82101,-5.53E-05,0.208
332.89099,-4.83E-05,0.208
332.95901,-7.63E-05,0.208
333.02899,-7.98E-05,0.208
333.09698,-7.75E-05,0.208
333.155,-7.17E-05,0.208
333.23001,-7.63E-05,0.208
333.29599,-8.45E-05,0.208
333.366,-8.10E-05,0.208
333.43701,-1.02E-04,0.208
333.49701,-9.27E-05,0.208
333.57999,-8.45E-05,0.208
333.64099,-7.52E-05,0.208
333.70901,-7.52E-05,0.208
333.77701,-7.63E-05,0.208
333.84299,-7.17E-05,0.208
333.91599,-6.70E-05,0.208
333.98401,-6.23E-05,0.208
334.05099,-6.82E-05,0.208
334.11899,-3.32E-05,0.208
334.185,-4.95E-05,0.208
334.26199,-8.45E-05,0.208
334.332,-7.52E-05,0.208
334.392,-8.33E-05,0.208
334.453,-1.28E-04,0.208
334.52802,-1.06E-04,0.208
334.59201,-9.62E-05,0.208
334.66299,-9.85E-05,0.208
334.728,-6.47E-05,0.208
334.797,-6.35E-05,0.208
334.88101,-8.68E-05,0.208
334.94699,-1.20E-04,0.208
335.004,-1.10E-04,0.208
335.07101,-7.63E-05,0.208
335.13,-5.77E-05,0.208
335.203,-5.18E-05,0.208
335.26801,-6.23E-05,0.208
335.33701,-8.68E-05,0.208
335.40201,-9.62E-05,0.208
335.46899,-1.06E-04,0.208
335.535,-8.22E-05,0.208
335.604,-9.03E-05,0.208
335.68399,-8.57E-05,0.208
335.737,-9.62E-05,0.208
335.806,-9.62E-05,0.208
335.883,-8.80E-05,0.208
335.94199,-9.50E-05,0.208
336.01901,-8.57E-05,0.208
336.09,-8.33E-05,0.208
336.14999,-9.03E-05,0.208
336.22,-9.85E-05,0.208
336.28699,-9.97E-05,0.208
336.354,-7.52E-05,0.208
336.41599,-5.53E-05,0.208
336.478,-6.12E-05,0.208
336.556,-8.45E-05,0.208
336.62201,-7.52E-05,0.208
336.68799,-8.68E-05,0.208
336.74899,-1.08E-04,0.208
336.82401,-1.20E-04,0.208
336.88599,-1.06E-04,0.208
336.961,-9.03E-05,0.208
337.026,-9.38E-05,0.208
337.095,-9.03E-05,0.208
337.16599,-8.68E-05,0.208
337.23499,-1.03E-04,0.208
337.30399,-1.23E-04,0.208
337.36499,-1.08E-04,0.208
337.439,-7.28E-05,0.208
337.504,-6.23E-05,0.208
337.57101,-6.70E-05,0.208
337.63501,-4.83E-05,0.208
337.70499,-8.45E-05,0.208
337.776,-1.08E-04,0.208
337.84399,-9.50E-05,0.208
337.91199,-9.73E-05,0.208
337.983,-1.11E-04,0.208
338.048,-1.13E-04,0.208
338.11801,-1.01E-04,0.208
338.17599,-9.38E-05,0.208
338.25101,-9.38E-05,0.208
338.319,-9.85E-05,0.208
338.384,-9.38E-05,0.208
338.453,-8.33E-05,0.208
338.509,-8.10E-05,0.208
338.573,-7.63E-05,0.208
338.65201,-8.45E-05,0.208
338.71301,-9.15E-05,0.208
338.78101,-9.50E-05,0.208
338.854,-9.62E-05,0.208
338.91599,-9.03E-05,0.208
338.98999,-8.68E-05,0.208
339.06299,-9.73E-05,0.208
339.12,-1.06E-04,0.208
339.18399,-1.08E-04,0.208
339.26401,-1.17E-04,0.208
339.32599,-1.27E-04,0.208
339.396,-1.15E-04,0.208
339.466,-8.22E-05,0.208
339.52899,-8.10E-05,0.208
339.59299,-8.10E-05,0.208
339.664,-1.08E-04,0.208
339.73099,-1.01E-04,0.208
339.789,-1.01E-04,0.208
339.862,-1.20E-04,0.208
339.931,-1.17E-04,0.208
339.99701,-1.04E-04,0.208
340.065,-7.75E-05,0.208
340.13199,-9.27E-05,0.208
340.19501,-9.27E-05,0.208
340.267,-8.80E-05,0.208
340.32999,-1.03E-04,0.208
340.396,-1.08E-04,0.208
340.46799,-9.50E-05,0.208
340.534,-9.15E-05,0.208
340.604,-1.07E-04,0.208
